average,average_max,average_min,record_max,record_min
283.72,289.07,279.60,293.89,275.99
284.42,290.28,280.03,295.32,276.15
283.75,289.49,279.59,294.85,274.96
284.04,290.26,279.46,295.66,272.98
284.72,290.69,280.26,296.32,275.88
285.06,290.39,281.22,296.67,275.89
285.36,290.06,281.85,297.07,277.39
285.10,290.40,281.34,296.88,275.74
284.86,289.66,281.39,294.38,278.22
285.36,290.67,281.63,294.75,277.06
285.67,290.13,282.08,296.61,276.75
285.48,289.66,282.41,297.58,275.50
285.21,290.16,282.16,297.33,275.70
285.08,289.05,281.73,292.92,277.88
284.28,288.79,281.12,293.32,278.53
284.41,289.21,280.78,294.33,278.43
285.24,290.11,282.08,294.77,279.82
285.86,290.64,282.82,294.73,278.66
285.65,291.17,281.78,294.92,277.96
286.33,292.42,281.90,296.37,279.37
286.59,292.20,282.71,297.43,280.34
286.20,291.58,282.51,297.65,279.53
285.48,291.42,281.34,298.04,277.57
285.39,290.43,281.47,297.84,278.19
285.15,290.81,281.10,296.27,277.73
285.54,291.05,281.50,297.32,276.25
285.66,291.20,281.69,295.77,276.70
286.17,290.97,282.78,295.47,279.15
285.87,290.24,282.76,293.49,280.14
285.77,290.16,282.38,292.17,279.12
